timestamp,datetime,dose_uSv_h
1763375286.729713,2025-11-17 17:28:06.729713,8452.837466595494
1763375287.7299929,2025-11-17 17:28:07.729993,48509.26361102302
1763375288.7298412,2025-11-17 17:28:08.729841,43547.5976046766
1763375289.7300134,2025-11-17 17:28:09.730013,37822.40016119734
1763375290.7299352,2025-11-17 17:28:10.729935,31845.086117135037
1763375291.730037,2025-11-17 17:28:11.730037,26149.591134102957
1763375292.7295957,2025-11-17 17:28:12.729596,21244.676816320527
1763375293.7297947,2025-11-17 17:28:13.729795,17568.484551728237
1763375294.7299228,2025-11-17 17:28:14.729923,65337.04823502355
1763375295.729799,2025-11-17 17:28:15.729799,65057.53086746239
1763375296.72964,2025-11-17 17:28:16.729640,66112.77976508401
1763375297.729765,2025-11-17 17:28:17.729765,68408.53268666018
1763375298.7297692,2025-11-17 17:28:18.729769,71739.71686103544
1763375299.729754,2025-11-17 17:28:19.729754,75808.76752701611
1763375300.729903,2025-11-17 17:28:20.729903,80252.20850726524
1763375301.7295935,2025-11-17 17:28:21.729594,84673.12045270066
1763375302.7294502,2025-11-17 17:28:22.729450,204706.38586329197
1763375303.72956,2025-11-17 17:28:23.729560,217620.07183094916
1763375304.7298934,2025-11-17 17:28:24.729893,226279.99860648433
1763375305.729969,2025-11-17 17:28:25.729969,229912.60072247632
1763375306.7298498,2025-11-17 17:28:26.729850,228193.38865070516
1763375307.7295058,2025-11-17 17:28:27.729506,221275.93448529684
1763375308.729524,2025-11-17 17:28:28.729524,209778.153804931
1763375309.7297416,2025-11-17 17:28:29.729742,6648.4739409670265
1763375310.729669,2025-11-17 17:28:30.729669,5497.817694028254
1763375311.7296019,2025-11-17 17:28:31.729602,4302.692875108081
1763375312.7300832,2025-11-17 17:28:32.730083,3169.856424898715
1763375313.7296154,2025-11-17 17:28:33.729615,2200.5012496258305
1763375314.7298644,2025-11-17 17:28:34.729864,1481.2169601133196
1763375315.7298236,2025-11-17 17:28:35.729824,1076.255079734035
1763375316.729744,2025-11-17 17:28:36.729744,1021.7896471840431
1763375317.729818,2025-11-17 17:28:37.729818,16613.429486706485
1763375318.729903,2025-11-17 17:28:38.729903,19760.328321619334
1763375319.7296553,2025-11-17 17:28:39.729655,24268.5416399913
1763375320.7295172,2025-11-17 17:28:40.729517,29735.36417268395
1763375321.7297263,2025-11-17 17:28:41.729726,35672.46094442273
1763375322.7300925,2025-11-17 17:28:42.730093,41549.48878275386
1763375323.7297547,2025-11-17 17:28:43.729755,46841.47029414446
1763375324.7298753,2025-11-17 17:28:44.729875,92056.76639827431
1763375325.7300532,2025-11-17 17:28:45.730053,94155.43504166156
1763375326.729685,2025-11-17 17:28:46.729685,94989.64083121877
1763375327.7295852,2025-11-17 17:28:47.729585,94484.86664823917
1763375328.729905,2025-11-17 17:28:48.729905,92686.20246714402
1763375329.7297173,2025-11-17 17:28:49.729717,89754.31760235675
1763375330.7296538,2025-11-17 17:28:50.729654,85951.10859695921
1763375331.72965,2025-11-17 17:28:51.729650,81616.30478449166
1763375332.7296188,2025-11-17 17:28:52.729619,158548.48511754873
1763375333.7299497,2025-11-17 17:28:53.729950,141654.68081609203
1763375334.729459,2025-11-17 17:28:54.729459,127292.87945785261
1763375335.7296333,2025-11-17 17:28:55.729633,116745.97798510973
1763375336.729539,2025-11-17 17:28:56.729539,110956.09969510144
1763375337.7297287,2025-11-17 17:28:57.729729,110440.43717176201
1763375338.7296412,2025-11-17 17:28:58.729641,115245.05301252892
1763375339.7297673,2025-11-17 17:28:59.729767,1996.0510129132958
1763375340.729688,2025-11-17 17:29:00.729688,2910.765641493074
1763375341.7298625,2025-11-17 17:29:01.729862,4012.1053530535028
1763375342.729554,2025-11-17 17:29:02.729554,5201.690751227245
1763375343.730046,2025-11-17 17:29:03.730046,6373.2597152795815
